00YZL,c065,17,626,24.0,c065 0.70 26.10
00YZL,c142,718,816,24.0,c142 29.90 34.00
00YZL,c143,610,816,24.0,c143 25.40 34.00
01K8X,c121,0,575,29.97002997,c121 0.00 19.20
024PD,c015,0,1798,29.97002997,c015 0.00 60.00
02XLP,c065,457,794,24.8130008905,c065 18.40 32.00
02XLP,c069,337,499,24.8130008905,c069 13.60 20.10
03XSP,c015,0,745,25.0,c015 0.00 29.80
04LAX,c142,288,503,29.97002997,c142 9.60 16.80
04LAX,c143,168,408,29.97002997,c143 5.60 13.60
05124,c015,0,957,29.909,c015 0.00 32.00
06L9P,c065,51,687,29.88,c065 1.70 23.00
06X2V,c015,179,805,29.37,c015 6.10 27.40
07AWM,c015,0,749,29.949,c015 0.00 25.00
07LG5,c015,0,870,30.0,c015 0.00 29.00
07LG5,c142,699,870,30.0,c142 23.30 29.00
07LG5,c143,438,642,30.0,c143 14.60 21.40
08EPO,c065,291,471,30.0,c065 9.70 15.70
09QI0,c015,0,986,29.877,c015 0.00 33.00
0A8ZT,c015,386,513,15.0833333333,c015 25.60 34.00
0BH84,c019,120,504,30.0,c019 4.00 16.80
0C5IQ,c060,39,630,30.0,c060 1.30 21.00
0D5I8,c015,0,546,30.0,c015 0.00 18.20
0DBQD,c065,0,153,29.97002997,c065 0.00 5.10
0DJ6R,c015,120,1079,59.9400599401,c015 2.00 18.00
0ER4S,c015,0,1045,29.865,c015 0.00 35.00
0F453,c015,9,659,29.97002997,c015 0.30 22.00
0F453,c143,9,237,29.97002997,c143 0.30 7.90
0FC0N,c069,507,1020,30.0,c069 16.90 34.00
0FC0N,c142,846,1020,30.0,c142 28.20 34.00
0FC0N,c143,501,699,30.0,c143 16.70 23.30
0GR11,c046,427,593,24.0,c046 17.80 24.70
0GR11,c049,463,607,24.0,c049 19.30 25.30
0GR11,c065,514,768,24.0,c065 21.40 32.00
0GR11,c069,485,634,24.0,c069 20.20 26.40
0HVVN,c015,0,728,29.97002997,c015 0.00 24.30
0I0FX,c069,716,869,29.97002997,c069 23.90 29.00
0IAGO,c060,300,449,29.9520153551,c060 10.00 15.00
0IAGO,c103,413,719,29.9520153551,c103 13.80 24.00
0J1AQ,c046,911,1116,29.0,c046 31.40 38.50
0J5T4,c142,441,708,30.0,c142 14.70 23.60
0J5T4,c143,21,228,30.0,c143 0.70 7.60
0JB3D,c142,162,350,29.9166666667,c142 5.40 11.70
0JB3D,c143,0,185,29.9166666667,c143 0.00 6.20
0KER3,c015,0,725,25.0,c015 0.00 29.00
0KEZF,c015,0,643,24.0,c015 0.00 26.80
0L07S,c015,0,700,25.0,c015 0.00 28.00
0L07S,c019,0,662,25.0,c019 0.00 26.50
0L0KS,c015,0,146,23.976023976,c015 0.00 6.10
0L0KS,c019,393,767,23.976023976,c019 16.40 32.00
0M6IY,c015,731,929,29.97002997,c015 24.40 31.00
0M6IY,c019,767,929,29.97002997,c019 25.60 31.00
0M7YH,c143,60,231,29.97002997,c143 2.00 7.70
0M9ZO,c142,258,420,29.97002997,c142 8.60 14.00
0M9ZO,c143,186,399,29.97002997,c143 6.20 13.30
0N6B0,c015,89,594,24.845,c015 3.60 23.90
0NZVB,c143,89,413,24.0,c143 3.70 17.20
0OQVD,c015,0,210,30.0,c015 0.00 7.00
0OQVD,c019,0,210,30.0,c019 0.00 7.00
0OUEP,c015,65,254,23.956,c015 2.70 10.60
0PKMF,c015,620,959,29.97002997,c015 20.70 32.00
